,DTS
3736,166.4082
3737,169.5799
3738,171.3945
3739,171.1738
3740,165.3033
3741,154.7433
3742,144.2274
3743,134.9064
3744,132.4915
3745,136.7501
3746,149.248
3747,161.3381
3748,170.30200000000005
3749,172.8209
3750,174.9012
3751,173.8315
3752,172.458
3753,170.6429
3754,169.5724
3755,168.7339
3756,168.4515
3757,168.4882
3758,168.8784
3759,169.5312
3760,170.4589
3761,173.6203
3762,179.114
3763,186.3123
3764,190.4092
3765,191.1589
3766,187.7744
3767,181.6677
3768,174.5467
3769,169.6924
3770,168.5184
3771,169.7396
3772,170.5175
3773,170.3901
3774,165.8936
3775,161.4892
3776,157.9004
3777,157.3737
3778,156.5669
3779,155.8679
3780,155.518
3781,151.8644
3782,147.6988
3783,143.0422
3784,143.9579
3785,144.336
3786,146.0526
3787,146.8231
3788,149.6581
3789,152.8729
3790,155.4764
3791,156.9501
3792,157.9553
3793,157.405
3794,156.1418
3795,154.7358
3796,154.6733
3797,155.332
3798,155.6602
3799,156.0274
3800,157.2388
3801,157.5422
3802,159.9524
3803,161.8139
3804,165.7772
3805,167.0285
3806,167.632
3807,166.05
3808,165.6144
3809,165.4712
3810,167.3486
3811,173.0598
3812,179.2515
3813,183.1889
3814,180.3322
3815,176.7371
3816,173.6336
3817,172.1137
3818,170.7594
3819,171.3215
3820,174.345
3821,176.7366
3822,177.6482
3823,175.3773
3824,172.7906
3825,170.1544
3826,169.0142
3827,173.5477
3828,179.3942
3829,185.0088
3830,185.8737
3831,184.9964
3832,183.2574
3833,181.3882
3834,179.7225
3835,181.0627
3836,184.1915
3837,188.7252
3838,192.2782
3839,195.0963
3840,195.7553
3841,193.8085
3842,188.7614
3843,183.8088
3844,180.2155
3845,179.1572
3846,179.2593
3847,179.7892
3848,179.9759
3849,182.1896
3850,185.985
3851,190.0639
3852,192.0668
3853,191.6289
3854,190.2289
3855,188.8227
3856,188.1318
3857,187.6062
3858,188.0772
3859,189.2498
3860,190.9789
3861,191.7755
3862,189.5202
3863,187.801
3864,187.0146
3865,189.0103
3866,190.5952
3867,190.3379
3868,189.3096
3869,187.921
3870,187.0346
3871,187.9936
3872,190.7924
3873,194.3487
3874,198.0886
3875,199.6759
3876,198.5851
3877,193.7576
3878,188.1776
3879,185.129
3880,182.6474
3881,177.6741
3882,166.6182
3883,156.5885
3884,146.1934
3885,146.1888
3886,146.4876
3887,155.4445
3888,160.9528
3889,163.9319
3890,161.8167
3891,158.4576
3892,157.3872
3893,155.1559
3894,152.5971
3895,150.9639
3896,150.2736
3897,149.0209
3898,145.3924
3899,138.1958
3900,129.1987
3901,122.8361
3902,123.2903
3903,126.5545
3904,128.9883
3905,129.0838
3906,129.1792
3907,132.4486
3908,137.6722
3909,143.6264
3910,146.3314
3911,146.8837
3912,147.3145
3913,148.0675
3914,149.0042
3915,149.8168
3916,150.9153
3917,152.102
3918,152.7986
3919,153.0625
3920,153.3065
3921,153.9287
3922,154.6724
3923,155.644
3924,156.3146
3925,156.8632
3926,156.8677
3927,156.6455
3928,155.4761
3929,152.6639
3930,150.2579
3931,148.7271
3932,149.3509
3933,150.7836
3934,152.6291
3935,154.4796
3936,155.6552
3937,156.0936
3938,156.1146
3939,155.7583
3940,155.5885
3941,155.0301
3942,154.4978
3943,153.7624
3944,152.4791
3945,149.9779
3946,147.7098
3947,146.4705
3948,146.5928
3949,147.3538
3950,148.7964
3951,150.5685
3952,152.0562
3953,153.1342
3954,154.2548
3955,155.1904
3956,155.8313
3957,155.9375
3958,155.9836
3959,155.8526
3960,155.3458
3961,154.6923
3962,153.9501
3963,153.5768
3964,153.488
3965,153.4924
