,GR,DT,DRES,DEN,Depth,COND,CAL,Zone_Tertiary,Zone_Paleocene,Zone_Chalk,Zone_Jurassic
3065,61.7,109.6455,0.6558,2.3966,8121.0,1524.8552,8.2616,0,1,0,0
3066,59.3125,109.5625,0.6765,2.4019,8121.5,1478.1965,8.2617,0,1,0,0
3067,57.547,109.284,0.6659,2.4116,8122.0,1501.7271,8.2623,0,1,0,0
3068,56.0572,108.1809,0.6609,2.4478,8122.5,1513.0883,8.2639,0,1,0,0
3069,54.5273,107.068,0.6644,2.4811,8123.0,1505.1174,8.3028,0,1,0,0
3070,52.4146,104.9026,0.6763,2.5182,8123.5,1478.6338,8.3049,0,1,0,0
3071,49.8165,106.7696,0.6833,2.5626,8124.0,1463.486,8.3054,0,1,0,0
3072,48.5164,109.592,0.6568,2.5948,8124.5,1522.5336,8.3183,0,1,0,0
3073,50.4495,113.2676,0.6391,2.5514,8125.0,1564.7003,8.3313,0,1,0,0
3074,53.1807,113.6553,0.6225,2.4911,8125.5,1606.4257,8.3386,0,1,0,0
3075,54.9584,113.6553,0.6266,2.4182,8126.0,1595.9144,8.3179,0,1,0,0
3076,55.0473,114.8402,0.6412,2.3985,8126.5,1559.5758,8.3016,0,1,0,0
3077,54.2431,114.4374,0.643,2.4105,8127.0,1555.21,8.3009,0,1,0,0
3078,54.7434,112.8174,0.6485,2.4211,8127.5,1542.02,8.2842,0,1,0,0
3079,56.1325,111.4698,0.6509,2.4285,8128.0,1536.3344,8.2674,0,1,0,0
3080,56.9607,111.4698,0.6521,2.4315,8128.5,1533.5071,8.2612,0,1,0,0
3081,55.6706,111.4698,0.6658,2.4298,8129.0,1501.9526,8.2611,0,1,0,0
3082,54.0793,110.0499,0.6843,2.4162,8129.5,1461.3473,8.3006,0,1,0,0
3083,53.5188,110.0347,0.6738,2.4047,8130.0,1484.12,8.2829,0,1,0,0
3084,53.4786,110.1645,0.6694,2.3963,8130.5,1493.8751,8.2652,0,1,0,0
3085,52.5289,110.7781,0.6658,2.4027,8131.0,1501.9526,8.2621,0,1,0,0
3086,52.0166,111.1924,0.6529,2.403,8131.5,1531.6282,8.2643,0,1,0,0
3087,52.4285,111.8519,0.6509999999999999,2.3919,8132.0,1536.0983,8.2628,0,1,0,0
3088,53.0234,112.5694,0.6567,2.3801,8132.5,1522.7653,8.2769,0,1,0,0
3089,54.101000000000006,112.6024,0.6657,2.3715,8133.0,1502.1781,8.291,0,1,0,0
3090,54.8167,112.6024,0.6578,2.3772,8133.5,1520.2189,8.301,0,1,0,0
3091,56.3389,111.819,0.6546,2.3947,8134.0,1527.6504,8.3018,0,1,0,0
3092,58.8631,111.0837,0.6487,2.4553,8134.5,1541.5447,8.3014,0,1,0,0
3093,60.6385,111.0198,0.6487,2.4846,8135.0,1541.5447,8.3013,0,1,0,0
3094,61.1994,111.0483,0.6402,2.4908,8135.5,1562.0118,8.3025,0,1,0,0
3095,60.7914,111.0765,0.6294,2.4718,8136.0,1588.8147,8.3037,0,1,0,0
3096,59.9325,111.1048,0.6215,2.4554,8136.5,1609.0104,8.2975,0,1,0,0
3097,60.1949,111.133,0.6072,2.4411,8137.0,1646.9038,8.2676,0,1,0,0
3098,61.5162,111.143,0.5952,2.4631,8137.5,1680.1075,8.2622,0,1,0,0
3099,62.5521,110.2994,0.5981,2.4835,8138.0,1671.9612,8.2679,0,1,0,0
3100,63.227,107.9033,0.6114,2.4801,8138.5,1635.5905,8.2737,0,1,0,0
3101,62.8999,106.4768,0.6244,2.4481,8139.0,1601.5375,8.2976,0,1,0,0
3102,61.3529,107.664,0.6399,2.4232,8139.5,1562.7441,8.301,0,1,0,0
3103,59.5401,108.7055,0.6499,2.4157,8140.0,1538.6982,8.3069,0,1,0,0
3104,58.3935,109.5677,0.6449,2.4105,8140.5,1550.6279,8.3197,0,1,0,0
3105,60.7722,108.9872,0.6559999999999999,2.4099,8141.0,1524.3903,8.3326,0,1,0,0
3106,65.0685,107.8728,0.6607,2.425,8141.5,1513.5461,8.3392,0,1,0,0
3107,67.4495,107.9802,0.6613,2.4384,8142.0,1512.1729999999998,8.3422,0,1,0,0
3108,69.257,108.0876,0.675,2.4366,8142.5,1481.4814,8.3415,0,1,0,0
3109,69.4166,108.1949,0.6666,2.4385,8143.0,1500.15,8.3414,0,1,0,0
3110,68.6189,110.6676,0.6645,2.4304,8143.5,1504.8909,8.3413,0,1,0,0
3111,68.6429,111.118,0.6454,2.4153,8144.0,1549.4268,8.3413,0,1,0,0
3112,69.8829,111.0215,0.633,2.4104,8144.5,1579.7788,8.34,0,1,0,0
3113,71.6728,110.8066,0.6682,2.4303,8145.0,1496.5579,8.3198,0,1,0,0
3114,69.8387,110.076,0.7062,2.4878,8145.5,1416.0294,8.2967,0,1,0,0
3115,66.8367,109.6587,0.7131,2.5051,8146.0,1402.3279,8.2814,0,1,0,0
3116,64.374,108.4653,0.6970000000000001,2.4839,8146.5,1434.7202,8.2662,0,1,0,0
3117,63.393,108.1994,0.672,2.4465,8147.0,1488.0952,8.2611,0,1,0,0
3118,62.7775,108.1994,0.6397,2.4330000000000003,8147.5,1563.2328,8.3002,0,1,0,0
3119,62.4695,108.3052,0.621,2.4296,8148.0,1610.306,8.299,0,1,0,0
3120,61.8956,109.9245,0.6564,2.4379,8148.5,1523.4613,8.2999,0,1,0,0
3121,61.0054,109.0899,0.6875,2.4451,8149.0,1454.5454,8.3012,0,1,0,0
3122,60.3986,107.5378,0.6971,2.4547,8149.5,1434.5144,8.3026,0,1,0,0
3123,59.2685,106.3704,0.6767,2.4479,8150.0,1477.7598,8.302,0,1,0,0
3124,57.2709,105.2498,0.66,2.4293,8150.5,1515.1515,8.3016,0,1,0,0
3125,55.3411,104.9202,0.6562,2.4071,8151.0,1523.9257,8.3014,0,1,0,0
3126,52.6748,105.4162,0.6746,2.4123,8151.5,1482.3599,8.3202,0,1,0,0
3127,49.3223,106.513,0.6949,2.434,8152.0,1439.056,8.3459,0,1,0,0
3128,46.9927,107.7714,0.6813,2.4396,8152.5,1467.7822,8.347000000000001,0,1,0,0
3129,45.4698,108.7301,0.6581,2.4088,8153.0,1519.5259,8.3511,0,1,0,0
3130,46.4222,108.8658,0.6496,2.3649,8153.5,1539.4088,8.3633,0,1,0,0
3131,48.7401,109.4539,0.6242,2.3637,8154.0,1602.0507,8.3539,0,1,0,0
3132,51.3725,110.009,0.6414,2.4011,8154.5,1559.0896,8.3423,0,1,0,0
3133,52.0983,109.1866,0.6659,2.4214,8155.0,1501.7271,8.3347,0,1,0,0
3134,51.0482,108.6516,0.6824,2.4484,8155.5,1465.4163,8.2703,0,1,0,0
3135,49.4082,107.1454,0.6814,2.4456,8156.0,1467.5668,8.2614,0,1,0,0
3136,47.5487,105.6641,0.6581,2.4429,8156.5,1519.5259,8.263,0,1,0,0
3137,47.1087,103.7941,0.7076,2.4489,8157.0,1413.2278,8.2647,0,1,0,0
3138,48.6572,103.5329,0.7669,2.4594,8157.5,1303.9509,8.2994,0,1,0,0
3139,51.3116,102.3259,0.8283,2.4545,8158.0,1207.292,8.3282,0,1,0,0
3140,53.496,100.8948,0.8504,2.4276,8158.5,1175.9172,8.3411,0,1,0,0
3141,55.428,101.7922,0.8166,2.4075,8159.0,1224.5897,8.3334,0,1,0,0
3142,59.1819,103.5684,0.821,2.4107,8159.5,1218.0269,8.3246,0,1,0,0
3143,63.2612,105.2721,0.7697,2.4221,8160.0,1299.2075,8.3091,0,1,0,0
3144,66.491,105.0309,0.7238,2.4296,8160.5,1381.5972,8.3011,0,1,0,0
3145,67.3191,103.2849,0.6402,2.4312,8161.0,1562.0118,8.3009,0,1,0,0
3146,64.8034,101.0546,0.6929,2.4328,8161.5,1443.2097,8.2884,0,1,0,0
3147,57.3102,98.703,0.8449,2.4504,8162.0,1183.572,8.2723,0,1,0,0
3148,50.2622,96.2719,1.155,2.4729,8162.5,865.8009,8.2776,0,1,0,0
3149,47.3196,95.4344,1.341,2.4924,8163.0,745.7122,8.3014,0,1,0,0
3150,45.9885,95.4267,1.093,2.4923,8163.5,914.913,8.3015,0,1,0,0
3151,48.1271,98.1369,0.8748,2.4605,8164.0,1143.1184,8.3013,0,1,0,0
3152,53.6665,101.3667,0.7103,2.4362,8164.5,1407.8558,8.301,0,1,0,0
3153,58.8278,104.0511,0.6958,2.4375,8165.0,1437.1946,8.3004,0,1,0,0
3154,62.5794,104.0957,0.7305,2.4474,8165.5,1368.9254,8.2982,0,1,0,0
3155,62.2869,104.1862,0.7085,2.441,8166.0,1411.4325,8.297,0,1,0,0
3156,57.9365,104.2766,0.6874,2.4237,8166.5,1454.7571,8.2901,0,1,0,0
3157,55.6787,104.1785,0.6874,2.4276,8167.0,1454.7571,8.297,0,1,0,0
3158,54.4293,103.7659,0.6855,2.4389,8167.5,1458.7892,8.3086,0,1,0,0
3159,53.8027,104.241,0.6795,2.4359,8168.0,1471.6704,8.2941,0,1,0,0
3160,53.2123,105.0977,0.6685,2.4241,8168.5,1495.8864,8.2775,0,1,0,0
3161,52.3424,105.3276,0.6716,2.4151,8169.0,1488.9816,8.2617,0,1,0,0
3162,50.8872,105.4277,0.6729,2.4097,8169.5,1486.1049,8.2459,0,1,0,0
3163,48.8323,105.5277,0.6963,2.3993,8170.0,1436.1625,8.2787,0,1,0,0
3164,46.401,105.6278,0.6665,2.3877,8170.5,1500.3751,8.3091,0,1,0,0
3165,46.257,105.7715,0.6517,2.3741,8171.0,1534.4484,8.357999999999999,0,1,0,0
3166,46.8578,107.608,0.6217,2.3606,8171.5,1608.4929,8.3864,0,1,0,0
3167,46.3387,110.3773,0.6224,2.3488,8172.0,1606.6838,8.3941,0,1,0,0
3168,45.1655,111.1097,0.6669,2.3368,8172.5,1499.4752,8.3762,0,1,0,0
3169,44.2216,110.1639,0.6654,2.3438,8173.0,1502.8553,8.3507,0,1,0,0
