,Wellname,Depth,GR,CAL,DRES,COND,DT,DEN,DTS,Zone_Chalk,Zone_Jurassic,Zone_Paleocene,Zone_Tertiary
3054,22-12a-10,8115.5,62.9296,8.3852,0.6342,1576.7897,117.3981,2.4247,246.9884,0,0,1,0
3055,22-12a-10,8116.0,61.102,8.3824,0.6267,1595.6598,118.9553,2.4205,246.4021,0,0,1,0
3056,22-12a-10,8116.5,59.0771,8.3813,0.6428,1555.6938,119.8759,2.4177,246.4837,0,0,1,0
3057,22-12a-10,8117.0,58.5409,8.3498,0.6719,1488.3168,119.6843,2.4238,247.1451,0,0,1,0
3058,22-12a-10,8117.5,58.5845,8.31,0.7,1428.5714,118.4585,2.4343,247.2208,0,0,1,0
3059,22-12a-10,8118.0,59.1594,8.2638,0.6699,1492.7601,116.7704,2.4326,246.9653,0,0,1,0
3060,22-12a-10,8118.5,59.2094,8.2635,0.6426,1556.178,115.9452,2.4229,246.1565,0,0,1,0
3061,22-12a-10,8119.0,60.4347,8.2822,0.6301,1587.0497,115.9522,2.4106,245.2083,0,0,1,0
3062,22-12a-10,8119.5,61.633,8.2737,0.6181,1617.8612,115.914,2.4025,242.4424,0,0,1,0
3063,22-12a-10,8120.0,62.7896,8.2652,0.5956,1678.9791,114.8549,2.3994,238.4093,0,0,1,0
3064,22-12a-10,8120.5,62.9943,8.2616,0.6071,1647.175,112.4676,2.3948,233.3796,0,0,1,0
3065,22-12a-10,8121.0,61.7,8.2616,0.6558,1524.8552,109.6455,2.3966,229.4435,0,0,1,0
3066,22-12a-10,8121.5,59.3125,8.2617,0.6765,1478.1965,109.5625,2.4019,226.8569,0,0,1,0
3067,22-12a-10,8122.0,57.547,8.2623,0.6659,1501.7271,109.284,2.4116,225.4558,0,0,1,0
3068,22-12a-10,8122.5,56.0572,8.2639,0.6609,1513.0883,108.1809,2.4478,225.5465,0,0,1,0
3069,22-12a-10,8123.0,54.5273,8.3028,0.6644,1505.1174,107.068,2.4811,225.9082,0,0,1,0
3070,22-12a-10,8123.5,52.4146,8.3049,0.6763,1478.6338,104.9026,2.5182,226.7872,0,0,1,0
3071,22-12a-10,8124.0,49.8165,8.3054,0.6833,1463.486,106.7696,2.5626,228.3575,0,0,1,0
3072,22-12a-10,8124.5,48.5164,8.3183,0.6568,1522.5336,109.592,2.5948,230.6862,0,0,1,0
3073,22-12a-10,8125.0,50.4495,8.3313,0.6391,1564.7003,113.2676,2.5514,232.7984,0,0,1,0
3074,22-12a-10,8125.5,53.1807,8.3386,0.6225,1606.4257,113.6553,2.4911,233.543,0,0,1,0
3075,22-12a-10,8126.0,54.9584,8.3179,0.6266,1595.9144,113.6553,2.4182,233.5708,0,0,1,0
3076,22-12a-10,8126.5,55.0473,8.3016,0.6412,1559.5758,114.8402,2.3985,233.1895,0,0,1,0
3077,22-12a-10,8127.0,54.2431,8.3009,0.643,1555.21,114.4374,2.4105,232.5022,0,0,1,0
3078,22-12a-10,8127.5,54.7434,8.2842,0.6485,1542.02,112.8174,2.4211,231.0012,0,0,1,0
3079,22-12a-10,8128.0,56.1325,8.2674,0.6509,1536.3344,111.4698,2.4285,227.3473,0,0,1,0
3080,22-12a-10,8128.5,56.9607,8.2612,0.6521,1533.5071,111.4698,2.4315,223.4703,0,0,1,0
3081,22-12a-10,8129.0,55.6706,8.2611,0.6658,1501.9526,111.4698,2.4298,218.9737,0,0,1,0
3082,22-12a-10,8129.5,54.0793,8.3006,0.6843,1461.3473,110.0499,2.4162,215.9145,0,0,1,0
3083,22-12a-10,8130.0,53.5188,8.2829,0.6738,1484.12,110.0347,2.4047,213.3851,0,0,1,0
3084,22-12a-10,8130.5,53.4786,8.2652,0.6694,1493.8751,110.1645,2.3963,212.6668,0,0,1,0
3085,22-12a-10,8131.0,52.5289,8.2621,0.6658,1501.9526,110.7781,2.4027,213.5568,0,0,1,0
3086,22-12a-10,8131.5,52.0166,8.2643,0.6529,1531.6282,111.1924,2.403,216.0337,0,0,1,0
3087,22-12a-10,8132.0,52.4285,8.2628,0.6509999999999999,1536.0983,111.8519,2.3919,219.6715,0,0,1,0
3088,22-12a-10,8132.5,53.0234,8.2769,0.6567,1522.7653,112.5694,2.3801,223.0645,0,0,1,0
3089,22-12a-10,8133.0,54.101000000000006,8.291,0.6657,1502.1781,112.6024,2.3715,226.4746,0,0,1,0
3090,22-12a-10,8133.5,54.8167,8.301,0.6578,1520.2189,112.6024,2.3772,227.6325,0,0,1,0
3091,22-12a-10,8134.0,56.3389,8.3018,0.6546,1527.6504,111.819,2.3947,227.8017,0,0,1,0
3092,22-12a-10,8134.5,58.8631,8.3014,0.6487,1541.5447,111.0837,2.4553,225.6003,0,0,1,0
