,Wellname,Depth,GR,CAL,DRES,COND,DT,DEN,DTS
14949,22-14b-5,9492.5,58.1191,12.0354,2.6095,383.2152,78.4816,2.4238,122.1193
14950,22-14b-5,9493.0,61.4762,12.0248,2.3203,430.9787,78.4506,2.3904,123.6101
14951,22-14b-5,9493.5,63.2976,12.0531,2.149,465.3327,79.7364,2.4815,126.7684
14952,22-14b-5,9494.0,66.5128,12.0178,2.0165,495.9088,79.1668,2.5597,140.55
14953,22-14b-5,9494.5,64.7003,12.0107,1.8851,530.4758,78.2591,2.5199,121.6528
14954,22-14b-5,9495.0,58.3888,11.9966,1.8136,551.3895,76.2657,2.38,120.0524
14955,22-14b-5,9495.5,54.209,11.9966,1.6911,591.3311,75.426,2.4432,123.4951
14956,22-14b-5,9496.0,50.77,12.0178,1.6249,615.4225,75.9342,2.4967,124.3922
14957,22-14b-5,9496.5,51.4118,12.0248,1.5348,651.5507,76.4278,2.4446,125.5806
14958,22-14b-5,9497.0,48.2763,12.0143,1.4244,702.05,77.9851,2.3815,127.081
14959,22-14b-5,9497.5,45.8713,12.0354,1.381,724.1129,77.1758,2.363,128.8102
14960,22-14b-5,9498.0,43.331,12.046,1.3899,719.4763,77.7694,2.3692,131.0326
14961,22-14b-5,9498.5,44.7517,12.0354,1.3948,716.9487,77.3039,2.4379,138.9527
14962,22-14b-5,9499.0,47.2326,12.0813,1.3743,727.6432,76.9931,2.4583,138.9379
14963,22-14b-5,9499.5,47.8757,12.1095,1.3267,753.7499,77.1673,2.4341,138.7771
14964,22-14b-5,9500.0,50.306,12.1095,1.2919999999999998,773.9938,76.7741,2.4142,138.4894
14965,22-14b-5,9500.5,47.6236,12.1024,1.2933,773.2158,77.6374,2.4035,138.1049
14966,22-14b-5,9501.0,47.0877,12.0672,1.3085,764.2338,77.4283,2.3577,128.6564
14967,22-14b-5,9501.5,41.2278,12.0531,1.3230000000000002,755.8579,77.1506,2.3802,128.0845
14968,22-14b-5,9502.0,40.594,12.0672,1.3046,766.5185,80.3535,2.3593,130.9403
14969,22-14b-5,9502.5,40.5668,12.0601,1.3031,767.4008,79.8931,2.3862,130.984
14970,22-14b-5,9503.0,47.7475,12.0601,1.3655,732.3325,80.0936,2.4625,127.2239
14971,22-14b-5,9503.5,50.2375,12.0601,1.3575,736.6483,80.2312,2.4619,128.0442
14972,22-14b-5,9504.0,51.6282,12.0601,1.2336,810.6355,80.1104,2.3634,129.3174
14973,22-14b-5,9504.5,48.06100000000001,12.0989,1.1625,860.215,81.3571,2.3815,129.7115
14974,22-14b-5,9505.0,48.9184,12.1095,1.1422,875.5034,80.6587,2.3744,130.2914
14975,22-14b-5,9505.5,48.6267,12.0566,1.1487,870.5493,80.8994,2.4085,130.6383
14976,22-14b-5,9506.0,46.9151,12.0389,1.1803,847.2422,80.8364,2.3574,131.5988
14977,22-14b-5,9506.5,45.4147,12.046,1.1784,848.6083,80.7825,2.4706,131.8322
14978,22-14b-5,9507.0,44.5296,12.0248,1.1333,882.3789,80.9268,2.4091,135.9657
14979,22-14b-5,9507.5,45.1958,12.0248,1.0869,920.0479,80.7665,2.3147,135.9599
14980,22-14b-5,9508.0,43.3424,12.0389,1.0494,952.9255,80.9734,2.3374,131.8982
14981,22-14b-5,9508.5,45.5373,12.0319,1.0011,998.9012,81.6295,2.3505,140.7925
14982,22-14b-5,9509.0,44.4433,12.0319,1.0331,967.9605,81.2626,2.3549,141.128
14983,22-14b-5,9509.5,45.5194,12.0319,1.1245,889.2841,80.3692,2.3428,140.8479
14984,22-14b-5,9510.0,45.0669,12.0672,1.2308,812.4797,79.8638,2.4343,139.7704
14985,22-14b-5,9510.5,50.9879,12.0954,1.3499,740.7956,79.7532,2.5198,138.0481
14986,22-14b-5,9511.0,54.732,12.0954,1.4712,679.7172,78.3185,2.4919,137.2052
14987,22-14b-5,9511.5,52.3478,12.0813,1.319,758.1501,81.2578,2.4257,138.1164
14988,22-14b-5,9512.0,50.2043,12.046,1.1801,847.3859,84.0275,2.2993,139.4635
14989,22-14b-5,9512.5,48.4164,12.0037,1.1591,862.7383,84.5165,2.1746,140.2441
14990,22-14b-5,9513.0,54.4069,12.0248,1.2267,815.1953,83.4414,2.3871,138.9023
14991,22-14b-5,9513.5,53.6567,12.0601,1.2679,788.7057,83.0131,2.5793,132.8144
14992,22-14b-5,9514.0,49.9889,12.0178,1.4392,694.8304,82.7982,2.5031,134.1332
14993,22-14b-5,9514.5,43.0603,12.0107,1.3372,747.8312,80.9439,2.4017,126.3458
14994,22-14b-5,9515.0,39.0702,12.0178,1.158,863.5579,80.2858,2.3378,125.2732
14995,22-14b-5,9515.5,40.916,12.0037,1.0622,941.4423,80.8445,2.4029,127.4055
14996,22-14b-5,9516.0,41.8541,12.0037,0.9993,1000.7005,82.0028,2.3525,128.8128
14997,22-14b-5,9516.5,43.1648,12.0248,0.9376,1066.5529,83.5573,2.337,130.9439
14998,22-14b-5,9517.0,40.781,12.0107,0.9047,1105.3389,83.7005,2.3084,131.7037
14999,22-14b-5,9517.5,39.6285,12.0178,0.8769,1140.3809,84.2431,2.3099,132.8367
15000,22-14b-5,9518.0,37.24800000000001,12.0248,0.8888,1125.1124,84.6138,2.3433,133.1794
15001,22-14b-5,9518.5,36.9303,12.0248,0.918,1089.3246,83.7238,2.3651,131.5637
15002,22-14b-5,9519.0,35.537,12.0248,0.9586,1043.188,81.2329,2.3241,130.7563
15003,22-14b-5,9519.5,39.2036,12.0813,1.0626,941.0879,80.30199999999998,2.3437,129.5711
15004,22-14b-5,9520.0,38.5617,12.0954,1.0942,913.9097,78.9629,2.4421,128.7832
15005,22-14b-5,9520.5,39.5263,12.0742,1.0632,940.5568,78.7607,2.4257,128.9632
15006,22-14b-5,9521.0,39.2829,12.0601,1.0353,965.9036,78.8606,2.3778,129.1772
15007,22-14b-5,9521.5,41.6618,12.0178,1.0029,997.1084,79.9087,2.3724,129.3993
15008,22-14b-5,9522.0,40.7826,12.0037,0.9676,1033.4849,81.2063,2.3595,129.6242
15009,22-14b-5,9522.5,37.382,12.0178,0.9354,1069.0614,84.2645,2.3252,130.2386
15010,22-14b-5,9523.0,35.645,12.0178,0.9161,1091.5839,84.8825,2.3339,130.9445
15011,22-14b-5,9523.5,36.3099,12.0037,0.898,1113.5857,86.2349,2.3336,131.8122
15012,22-14b-5,9524.0,35.4525,12.0143,0.8743,1143.7722,84.8114,2.3023,132.5541
15013,22-14b-5,9524.5,35.8804,12.0037,0.8606,1161.98,83.7112,2.3119,133.6336
15014,22-14b-5,9525.0,34.7876,11.9931,0.8554,1169.0437,83.2402,2.3103,133.7421
15015,22-14b-5,9525.5,37.1368,12.0037,0.8743,1143.7722,82.45100000000002,2.3436,133.673
15016,22-14b-5,9526.0,37.91,11.9825,0.9003,1110.7408,82.1838,2.3861,133.3345
15017,22-14b-5,9526.5,38.6813,12.0178,0.9644,1036.9142,81.4023,2.3757,132.5219
15018,22-14b-5,9527.0,38.4506,12.0037,1.0248,975.8002,80.0341,2.4076,131.4591
15019,22-14b-5,9527.5,38.6649,12.0178,1.0443,957.5793,80.1728,2.4179,131.0947
15020,22-14b-5,9528.0,38.6425,12.0178,1.0481,954.1074,80.2128,2.4628,132.4284
15021,22-14b-5,9528.5,36.8456,12.0037,1.0842,922.3391,81.0485,2.3857,132.4465
15022,22-14b-5,9529.0,35.8579,12.0178,1.067,937.2071,81.3132,2.396,132.6007
15023,22-14b-5,9529.5,35.666,12.0107,1.0506,951.837,81.2887,2.3678,132.8406
15024,22-14b-5,9530.0,35.0026,12.0248,1.051,951.4748,81.3975,2.3326,133.0894
15025,22-14b-5,9530.5,35.3962,12.0319,1.0785,927.2137,80.2815,2.3722,133.7979
15026,22-14b-5,9531.0,37.4325,12.0601,1.1229,890.5513,81.0704,2.3784,139.2924
15027,22-14b-5,9531.5,40.9146,12.0566,1.1893,840.8308,80.3189,2.3595,134.6697
15028,22-14b-5,9532.0,41.6199,12.0672,1.218,821.018,80.9994,2.3289,134.261
15029,22-14b-5,9532.5,43.9475,12.0531,1.2297,813.2065,77.7814,2.4731,133.4712
15030,22-14b-5,9533.0,44.5584,12.0143,1.1933,838.0122,79.1519,2.4303,133.1065
15031,22-14b-5,9533.5,45.7332,12.0107,1.2616,792.6442,79.2666,2.4042,132.3443
15032,22-14b-5,9534.0,44.6635,12.0143,1.1462,872.4481,78.3972,2.3926,131.1006
15033,22-14b-5,9534.5,44.1276,12.0037,1.2118,825.2187,78.7907,2.4194,128.5229
15034,22-14b-5,9535.0,48.8072,12.0354,1.2208,819.1349,79.7474,2.458,125.9137
15035,22-14b-5,9535.5,50.5502,12.0178,1.1515,868.4325,79.6263,2.4693,123.77
15036,22-14b-5,9536.0,50.5232,12.0178,1.1567,864.5284,80.097,2.383,124.8707
15037,22-14b-5,9536.5,42.9499,12.0178,1.1509,868.8852,81.2457,2.4229,124.009
15038,22-14b-5,9537.0,35.0023,12.0107,1.1283,886.2891,82.9938,2.3696,125.0753
